Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
GALP,CARRETERA GI-2632 KM. 2,20200,Pa#s Vasco,GIPUZKOA,Beasain,BEASAIN,-2.234583,43.045861,19/09/2025,19:00,L-V: 07:00-21:00  S: 07:00-15:00
AVIA,AP-8 (MRG.IZDO.) km 55,20829,Pa#s Vasco,GIPUZKOA,Deba,ITZIAR,-2.328222,43.284944,19/09/2025,12:46,L-D: 24H
AVIA,AP-8 (MRG.DCHO.) km 55,20829,Pa#s Vasco,GIPUZKOA,Deba,ITZIAR,-2.329861,43.284528,19/09/2025,12:47,L-D: 24H
GALP,AVENIDA NAVARRA 81,20100,Pa#s Vasco,GIPUZKOA,Errenteria,RENTERIA,-1.905194,43.316139,19/09/2025,18:00,L-D: 07:00-23:00
GALP,CARRETERA GI 2638 KM. 33,20100,Pa#s Vasco,GIPUZKOA,Lezo,LEZO,-1.870444,43.326944,19/09/2025,19:00,L-V: 07:00-22:00  S: 08:00-21:00  D: 09:00-16:00
BP OLABERRIA,CARRETERA N-I MADRID-IRUN KM. 416,20212,Pa#s Vasco,GIPUZKOA,Olaberria,OLABERRIA,-2.219917,43.026472,19/09/2025,00:00,L-D: 24H
GALP,CALLE ELIZ KALE 0,20700,Pa#s Vasco,GIPUZKOA,Zumarraga,ZUMARRAGA,-2.312889,43.087111,19/09/2025,19:00,L-D: 06:00-22:00
MOEVE,AUTOPISTA AP-8 (MRG.IZDO.) KM. 271,20170,Pa#s Vasco,GIPUZKOA,Usurbil,USURBIL,-2.029083,43.284833,19/09/2025,20:00,L-D: 24H
MOEVE,AUTOPISTA AP-8 (MRG.DCHO.) KM. 271,20170,Pa#s Vasco,GIPUZKOA,Usurbil,USURBIL,-2.031889,43.286611,19/09/2025,19:00,L-D: 06:00-22:00
REPSOL,PASEO DEL DOCTOR BEGUIRISTAIN 271,20014,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.984056,43.285972,19/09/2025,00:00,L-D: 24H
REPSOL,CR GI-632 1,20200,Pa#s Vasco,GIPUZKOA,Beasain,BEASAIN,-2.220417,43.050028,19/09/2025,00:00,L-S: 05:30-21:30  D: 07:00-21:30
REPSOL,CARRETERA A-124 KM. 65,1300,Pa#s Vasco,ARABA/#LAVA,Laguardia,LAGUARDIA,-2.578806,42.547639,19/09/2025,00:00,L-V: 07:00-21:45  S-D: 08:00-21:45
REPSOL,CL AVENIDA DE TOLOSA 188,20009,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-2.002111,43.299889,19/09/2025,19:00,L-D: 24H
PETRONOR,N-634     (BO. DE AGUINAGA) km 76,20170,Pa#s Vasco,GIPUZKOA,Usurbil,AGINAGA,-2.073278,43.277417,19/09/2025,00:00,L-D: 06:00-22:00
REPSOL,CARRETERA NACIONAL 634 KM. 57,20170,Pa#s Vasco,GIPUZKOA,Usurbil,USURBIL,-2.070472,43.271361,19/09/2025,00:00,L-D: 06:00-22:00
PETRONOR,CL ARETA 2,1400,Pa#s Vasco,ARABA/#LAVA,Llodio,LAUDIO/LLODIO,-2.951361,43.148639,19/09/2025,20:00,L-D: 06:00-22:00
AVIA,CALLE IBAI ONDO 14,20720,Pa#s Vasco,GIPUZKOA,Azkoitia,AZKOITIA,-2.312056,43.176444,15/09/2025,09:31,L-S: 06:00-22:00  D: 09:00-22:00
CEPSA,CALLE BIKU#A S/N,20230,Pa#s Vasco,GIPUZKOA,Legazpi,LEGAZPI,-2.332194,43.034694,16/09/2025,09:34,L-S: 08:00-21:00  D: 08:00-14:30
REPSOL,PASEO ERRONDO 7,20010,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.981472,43.309028,19/09/2025,00:00,L-V: 06:00-22:00  S-D: 07:00-22:00
CEPSA,CALLE AXULAR IBILTOKIA S/N,20750,Pa#s Vasco,GIPUZKOA,Zumaia,ZUMAIA,-2.258083,43.294833,19/09/2025,06:43,L-V: 07:30-20:30  S: 08:00-14:00  D: 09:00-13:00
PETRONOR,CL AVDA. DE GUIPUZCOA 34,20500,Pa#s Vasco,GIPUZKOA,Arrasate/Mondrag#n,ARRASATE/MONDRAGON,-2.478333,43.067028,19/09/2025,17:00,L-S: 06:00-22:00  D: 08:00-20:00
EASYGAS,CARRETERA GI-636 KM. 13,20280,Pa#s Vasco,GIPUZKOA,Hondarribia,HONDARRIBIA,-1.808528,43.347556,12/09/2025,12:34,L-D: 24H
